school_id,school_name,jersey,name,position,bats,throws,height,weight,class_year,hometown,high_school,previous_school,profile_url,headshot_url
utah,Utah,1,Colter McAnelly,RHP,R,R,6' 4'',200,Jr.,"Cheyenne, Wyo.",Cheyenne East HS,,https://utahutes.com/sports/baseball/roster/colter-mcanelly/17034,headshots/utah_colter-mcanelly.jpg
utah,Utah,2,Matt Flaharty,INF,L,R,6' 1'',195,R-Sr.,"Rancho Santa Margarita, Calif.",Santa Margarita Catholic HS,,https://utahutes.com/sports/baseball/roster/matt-flaharty/17025,headshots/utah_matt-flaharty.jpg
utah,Utah,3,Zakye Hawkins,INF,R,R,6' 0'',190,So.,"Las Cruces, N.M.",Las Cruces HS,,https://utahutes.com/sports/baseball/roster/zakye-hawkins/17028,headshots/utah_zakye-hawkins.jpg
utah,Utah,5,Nevan Noonan,INF,R,R,6' 0'',175,Sr.,"San Diego, Calif.",Francis Parker HS,San Diego State,https://utahutes.com/sports/baseball/roster/nevan-noonan/17047,headshots/utah_nevan-noonan.jpg
utah,Utah,6,Cameron Nielson,RHP,R,R,6' 1'',175,R-So.,"Salt Lake City, Utah",Cottonwood HS,,https://utahutes.com/sports/baseball/roster/cameron-nielson/17036,headshots/utah_cameron-nielson.jpg
utah,Utah,7,Cal Kilgore,C,R,R,6' 1'',185,Sr.,"Overland Park, Kan.",Blue Valley Southwest HS,Johnson County CC,https://utahutes.com/sports/baseball/roster/cal-kilgore/17030,headshots/utah_cal-kilgore.jpg
utah,Utah,8,Jack Kleveno,C,R,R,5' 6'',170,Jr.,"Riverside, Calif.",Arlington HS,,https://utahutes.com/sports/baseball/roster/jack-kleveno/17031,headshots/utah_jack-kleveno.jpg
utah,Utah,9,Jake Long,OF,L,R,6' 3'',225,Jr.,"Whittier, Calif.",La Serna HS,Santa Ana College,https://utahutes.com/sports/baseball/roster/jake-long/17033,headshots/utah_jake-long.jpg
utah,Utah,10,David Galindo,RHP,R,R,5' 9'',225,R-So.,"Phoenix, Ariz.",Saint Mary’s Catholic HS,South Mountain CC,https://utahutes.com/sports/baseball/roster/david-galindo/17097,headshots/utah_david-galindo.jpg
utah,Utah,11,Ryan Kittredge,RHP,R,R,6' 2'',200,Sr.,"Poway, Calif.",Rancho Bernardo HS,California Baptist,https://utahutes.com/sports/baseball/roster/ryan-kittredge/17045,headshots/utah_ryan-kittredge.jpg
utah,Utah,13,Justin Abercrombie,INF/RHP,R,R,5' 10'',170,Sr.,"Simi Valley, Calif.",Thousand Oaks HS,Cal State Dominguez Hills,https://utahutes.com/sports/baseball/roster/justin-abercrombie/17042,headshots/utah_justin-abercrombie.jpg
utah,Utah,15,Demitri Diamant,INF/RHP,R,R,5' 11'',205,R-Jr.,"Las Vegas, Nev.",Bishop Gorman HS,Georgia Tech,https://utahutes.com/sports/baseball/roster/demitri-diamant/17023,headshots/utah_demitri-diamant.jpg
utah,Utah,16,Kaden Soder,RHP,R,R,6' 2'',180,Jr.,"Las Vegas, Nev.",Bishop Gorman HS,College of Southern Nevada,https://utahutes.com/sports/baseball/roster/kaden-soder/17095,headshots/utah_kaden-soder.jpg
utah,Utah,17,Bradley Navarro,OF,S,R,5' 11'',185,Jr.,"Huntington Beach, Calif.",Huntington Beach HS,Cypress College,https://utahutes.com/sports/baseball/roster/bradley-navarro/17105,headshots/utah_bradley-navarro.jpg
utah,Utah,18,Cameron Gurney,INF,L,R,6' 0'',210,R-Jr.,"Scotland, Ontario",Pauline Johnson HS,,https://utahutes.com/sports/baseball/roster/cameron-gurney/17027,headshots/utah_cameron-gurney.jpg
utah,Utah,19,Ian Lenius,LHP,L,L,6' 0'',170,Fr.,"Middleton, Idaho",Middleton HS,,https://utahutes.com/sports/baseball/roster/ian-lenius/17103,headshots/utah_ian-lenius.jpg
utah,Utah,21,Daniel Arambula,INF,R,R,6' 0'',180,So.,"Yucaipa, Calif.",Yucaipa HS,San Diego State,https://utahutes.com/sports/baseball/roster/daniel-arambula/17043,headshots/utah_daniel-arambula.jpg
